SCORE_RESULT_NNN,ASSESSMENT_TITLE,ASSESSMENT_VERSION,ASSESSMENT_GRADE_LEVEL_ASSESSED,ACADEMIC_SUBJECT,OBJECTIVE_ASSESSMENT_IDENTIFICATION_CODE,ASSESSMENT_REPORTING_METHOD
'SCORE-RESULT-001','SAT','2016','Twelfth grade','Critical Reading','','Raw score'
'SCORE-RESULT-002','SAT','2016','Twelfth grade','Mathematics','','Raw score'
'SCORE-RESULT-003','SAT','2016','Twelfth grade','Writing','','Raw score'
'SCORE-RESULT-004','SAT','2016','Twelfth grade','Composite','','Raw score'
'SCORE-RESULT-005','SAT','2016','Twelfth grade','Critical Reading','','National College-Bound Percentile'
'SCORE-RESULT-006','SAT','2016','Twelfth grade','Mathematics','','National College-Bound Percentile'
'SCORE-RESULT-007','SAT','2016','Twelfth grade','Writing','','National College-Bound Percentile'
'SCORE-RESULT-008','SAT','2016','Twelfth grade','Composite','','National College-Bound Percentile'
'SCORE-RESULT-001','SAT','2018','Twelfth grade','Critical Reading','','Raw score'
'SCORE-RESULT-002','SAT','2018','Twelfth grade','Mathematics','','Raw score'
'SCORE-RESULT-003','SAT','2018','Twelfth grade','Writing','','Raw score'
'SCORE-RESULT-004','SAT','2018','Twelfth grade','Composite','','Raw score'
'SCORE-RESULT-005','SAT','2018','Twelfth grade','Critical Reading','','National College-Bound Percentile'
'SCORE-RESULT-006','SAT','2018','Twelfth grade','Mathematics','','National College-Bound Percentile'
'SCORE-RESULT-007','SAT','2018','Twelfth grade','Writing','','National College-Bound Percentile'
'SCORE-RESULT-008','SAT','2018','Twelfth grade','Composite','','National College-Bound Percentile'
'SCORE-RESULT-001','PSAT','2018','Eleventh grade','Reading','','Raw score'
'SCORE-RESULT-002','PSAT','2018','Eleventh grade','Mathematics','','Raw score'
'SCORE-RESULT-003','PSAT','2018','Eleventh grade','Composite','','Raw score'
'SCORE-RESULT-004','PSAT','2018','Eleventh grade','Reading','','Percentile'
'SCORE-RESULT-005','PSAT','2018','Eleventh grade','Mathematics','','Percentile'
'SCORE-RESULT-006','PSAT','2018','Eleventh grade','Composite','','Percentile'
'SCORE-RESULT-001','AP US History','2018','Twelfth grade','Social Studies','','Raw score'
'SCORE-RESULT-001','AP Art History','2018','Twelfth grade','Social Studies','','Raw score'
'SCORE-RESULT-001','AP Studio Art Drawing','2018','Twelfth grade','Fine and Performing Arts','','Raw score'
'SCORE-RESULT-001','AP Studio Art 2D','2018','Twelfth grade','Fine and Performing Arts','','Raw score'
'SCORE-RESULT-001','AP Studio Art 3D','2018','Twelfth grade','Fine and Performing Arts','','Raw score'
'SCORE-RESULT-001','AP Biology','2018','Twelfth grade','Science','','Raw score'
'SCORE-RESULT-001','AP Seminar','2018','Twelfth grade','Miscellaneous','','Raw score'
'SCORE-RESULT-001','AP Research','2018','Twelfth grade','Miscellaneous','','Raw score'
'SCORE-RESULT-001','AP Chemistry','2018','Twelfth grade','Science','','Raw score'
'SCORE-RESULT-001','AP Chinese Language','2018','Twelfth grade','Foreign Language and Literature','','Raw score'
'SCORE-RESULT-001','AP Computer Science','2018','Twelfth grade','Computer and Information Sciences','','Raw score'
'SCORE-RESULT-001','AP Computer Science Princ','2018','Twelfth grade','Computer and Information Sciences','','Raw score'
'SCORE-RESULT-001','AP Microeconomics','2018','Twelfth grade','Social Sciences and History','','Raw score'
'SCORE-RESULT-001','AP Macroeconomics','2018','Twelfth grade','Social Sciences and History','','Raw score'
'SCORE-RESULT-001','AP Eng Language and Comp','2018','Twelfth grade','ELA','','Raw score'
'SCORE-RESULT-001','AP Eng Literature and Comp','2018','Twelfth grade','ELA','','Raw score'
'SCORE-RESULT-001','AP Environmental Science','2018','Twelfth grade','Science','','Raw score'
'SCORE-RESULT-001','AP European History','2018','Twelfth grade','Social Studies','','Raw score'
'SCORE-RESULT-001','AP French Language','2018','Twelfth grade','Foreign Language and Literature','','Raw score'
'SCORE-RESULT-001','AP Human Geography','2018','Twelfth grade','Social Studies','','Raw score'
'SCORE-RESULT-001','AP German Language','2018','Twelfth grade','Foreign Language and Literature','','Raw score'
'SCORE-RESULT-001','AP US Government','2018','Twelfth grade','Social Studies','','Raw score'
'SCORE-RESULT-001','AP Comp Government','2018','Twelfth grade','Social Studies','','Raw score'
'SCORE-RESULT-001','AP Latin','2018','Twelfth grade','Foreign Language and Literature','','Raw score'
